1	0.8151199221611023,0.5771774053573608,0.10700563341379166	14,13,9
10	0.9196460247039795,0.32163143157958984,0.17250998318195343	14,12,9
100	0.9938158988952637,0.1166795864701271,0.02471361868083477	13,9,7
1000	0.8725482225418091,0.4727076292037964,0.14007651805877686	13,12,9
10000	0.8055046796798706,0.5833296179771423,0.09017793834209442	12,14,9
100000	0.7860716581344604,0.6017411947250366,0.14527933299541473	15,13,9
1000000	0.9550011157989502,0.23596680164337158,0.11909645795822144	14,9,15
10000000	0.7793143391609192,0.6072136163711548,0.19816412031650543	13,14,9
100000000	0.9889761209487915,0.07702797651290894,0.03246757388114929	13,9,7
1000000000	0.8070399165153503,0.5715301632881165,0.12101326882839203	12,14,9
200	0.805169939994812,0.45514610409736633,0.17464275658130646	12,9,8
200	0.6894683837890625,0.5127953290939331,0.38161608576774597	12,9,15
20	0.6662268042564392,0.5926961898803711,0.5227051973342896	1,2,0
200	0.8574782609939575,0.6324551701545715,0.5435808300971985	0,1,2
200	0.6092921495437622,0.5449608564376831,0.40235811471939087	1,2,0
